"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"St. Kitts and Nevis","KNA","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.14951","","","38.56359","0.0887383","0.1031419","0.3263509","0.0931605","","","0.0668102","0.0748279","0.0601459","0.055205","0.0382555","0.0372578","0.0148976","0.0148976","0.0148931","0.0148931","0.0148931","",
"St. Kitts and Nevis","KNA","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.82","","","17.39","9.24","9.24","9.24","9.24","","","9.03","9.03","9.03","9.03","8.73","8.73","8.95","8.95","8.78","8.78","8.78","",
"St. Kitts and Nevis","KNA","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.77","","","18.08","13.98","13.76","13.9","14.33","","","12.53","12.14","12.2","13.54","11.91","11.56","10.86","10.86","11.42","11.42","11.42","",
"St. Kitts and Nevis","KNA","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.97059","","","39.18859","41.99742","41.4789","41.28719","43.92516","","","38.89837","44.57498","44.83121","41.38801","44.53711","43.38301","37.56425","37.56425","43.20501","43.20501","43.20501","",
"St. Kitts and Nevis","KNA","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.11","","","71.1","71.14","71.14","71.14","71.14","","","71.14","71.14","71.14","71.14","71.12","71.12","71.12","71.12","71.12","71.12","71.12","",
"St. Kitts and Nevis","KNA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","100","100","100","100","100","","","100","100","100","100","99.97","99.97","99.97","99.97","99.97","99.97","99.97","",
"St. Kitts and Nevis","KNA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","97.63012769","104.3210974","97.9853864","82.94645353","89.93804222","101.6535136","103.0002782","114.878603","110.2616788","97.46628625","81.24909304","75.16882527","83.76358648","90.25244406","108.4074218","124.5920017","",
"St. Kitts and Nevis","KNA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","99.0614110429448","99.5026358656331","96.8136678004535","110.03492221519","98.134986553323","135.650476519337","132.308034942821","82.6557743957028","83.4520012432331","83.9807879238378","101.896990510945","91.1092124817746","74.6609969371873","81.0806223405621","75.0794242983897","66.9451332773886","70.2469968374069","76.0452870874102","73.0033842554471","70.774552136353","66.1108106611933","65.2750959715084","52.7383589798558","58.0752655441452","54.0409558390652","50.7174404598381","53.648243214665","52.6260272659004","48.4964116449792","46.4121094585538","54.4570208790718","47.7142615231309","49.6770788816779","51.5186474086921","44.35834072018","45.0646062702008","45.4622445705924","45.4073287571005","50.9062574853586","46.1039545654692","42.8125417806757","38.7056493450074","36.9811853382155","38.6450082646376","38.3695883763446","40.1093495519194","42.2516951338263","",
"St. Kitts and Nevis","KNA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.90378782990256","2.58695027306697","3.05873911976286","3.10856967417584","3.41038272072754","3.61827900951473","3.30855997990356","3.12157124843736","3.12734967481645","4.13821545831212","3.92676347083514","4.36558673392155","3.46500236813661","3.432473720407","3.00427579151826","3.57094333662009","3.87058602248262","4.31875768113714","4.24059349587507","7.83125851259942","7.13716538501333","6.99936446450925","",
"St. Kitts and Nevis","KNA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","5000000","6000000","6000000","7000000","9000000","8000000","8000000","8000000","10000000","11000000","14000000","12000000","15000000","11000000","13000000","14000000","15000000","16000000","39000000","37000000","36000000","",
